Time, SinWave, TriWave, SquareWave, TotalAmplitude
15.108,0.188,0.183,0.661,0.103
15.144,0.012,0.011,0.661,0.068
15.171,-0.397,-0.530,-0.661,-0.159
15.199,-0.375,-0.451,-0.661,-0.149
15.225,-0.194,-0.190,-0.661,-0.105
15.253,0.099,0.093,0.661,0.085
15.281,-0.251,-0.254,-0.661,-0.117
15.319,0.208,0.205,0.661,0.107
15.348,-0.357,-0.410,-0.661,-0.143
15.376,-0.221,-0.220,-0.661,-0.110
15.405,-0.209,-0.206,-0.661,-0.108
15.428,0.261,0.266,0.661,0.119
15.452,0.180,0.175,0.661,0.102
15.493,-0.371,-0.442,-0.661,-0.147
15.517,0.272,0.279,0.661,0.121
15.538,-0.202,-0.199,-0.661,-0.106
15.561,0.107,0.101,0.661,0.087
15.581,0.011,0.010,0.661,0.068
15.601,0.388,0.490,0.661,0.154
15.620,-0.330,-0.361,-0.661,-0.135
15.652,0.341,0.380,0.661,0.138
15.674,0.336,0.372,0.661,0.137
15.694,-0.135,-0.128,-0.661,-0.092
15.715,-0.315,-0.339,-0.661,-0.131
15.735,0.295,0.310,0.661,0.127
15.757,0.398,0.532,0.661,0.159
15.778,0.070,0.066,0.661,0.080
15.808,-0.005,-0.005,-0.661,-0.067
15.828,0.178,0.173,0.661,0.101
15.848,-0.380,-0.464,-0.661,-0.150
15.868,0.402,0.568,0.661,0.163
15.887,-0.276,-0.285,-0.661,-0.122
15.913,0.370,0.439,0.661,0.147
15.942,-0.122,-0.116,-0.661,-0.090
15.972,-0.219,-0.217,-0.661,-0.110
16.007,0.400,0.550,0.661,0.161
16.029,0.358,0.412,0.661,0.143
16.050,0.191,0.187,0.661,0.104
16.070,-0.347,-0.391,-0.661,-0.140
16.090,0.258,0.262,0.661,0.118
16.109,-0.186,-0.181,-0.661,-0.103
16.136,-0.133,-0.127,-0.661,-0.092
16.161,0.141,0.135,0.661,0.094
16.182,-0.402,-0.571,-0.661,-0.163
16.202,0.282,0.293,0.661,0.124
16.221,-0.329,-0.361,-0.661,-0.135
16.242,0.016,0.015,0.661,0.069
16.261,-0.093,-0.088,-0.661,-0.084
16.291,0.151,0.145,0.661,0.096
16.313,0.200,0.196,0.661,0.106
16.334,0.273,0.281,0.661,0.121
16.355,-0.165,-0.159,-0.661,-0.099
16.378,0.035,0.032,0.661,0.073
16.398,-0.202,-0.198,-0.661,-0.106
16.419,0.163,0.157,0.661,0.098
16.448,-0.351,-0.399,-0.661,-0.141
16.469,0.011,0.010,0.661,0.068
16.489,-0.006,-0.006,-0.661,-0.067
16.523,0.306,0.326,0.661,0.129
16.545,0.081,0.077,0.661,0.082
16.565,-0.350,-0.398,-0.661,-0.141
16.589,-0.055,-0.051,-0.661,-0.077
16.618,0.398,0.532,0.661,0.159
16.639,0.041,0.039,0.661,0.074
16.658,-0.038,-0.035,-0.661,-0.073
16.677,-0.289,-0.301,-0.661,-0.125
16.697,0.231,0.230,0.661,0.112
16.718,0.400,0.549,0.661,0.161
16.742,-0.152,-0.146,-0.661,-0.096
16.770,-0.109,-0.103,-0.661,-0.087
16.792,-0.025,-0.024,-0.661,-0.071
16.813,0.305,0.324,0.661,0.129
16.835,0.395,0.520,0.661,0.158
16.855,-0.289,-0.302,-0.661,-0.125
16.878,0.115,0.110,0.661,0.089
16.898,-0.136,-0.130,-0.661,-0.093
16.933,-0.045,-0.042,-0.661,-0.075
16.965,-0.285,-0.297,-0.661,-0.124
16.987,-0.403,-0.586,-0.661,-0.165
17.009,-0.292,-0.306,-0.661,-0.126
17.042,-0.164,-0.158,-0.661,-0.098
17.064,-0.135,-0.129,-0.661,-0.093
17.093,-0.381,-0.467,-0.661,-0.151
17.115,-0.400,-0.544,-0.661,-0.160
17.136,0.033,0.030,0.661,0.072
17.158,0.324,0.352,0.661,0.134
